,Cancer,Cardio,Dermatology_Allergy,Endocrine,Gastro_Hepato_Renal,Infectious,Mental_Health,Musculoskeletal,Neurological,Other,Respiratory
Cancer,3,4,1,2,0,0,2,1,2,1,0
Cardio,0,32,0,1,2,0,1,5,1,2,0
Dermatology_Allergy,0,1,4,4,0,0,1,2,1,2,2
Endocrine,0,0,4,8,0,0,1,6,5,6,0
Gastro_Hepato_Renal,0,0,0,0,44,4,0,0,0,0,2
Infectious,0,0,0,0,13,9,0,0,0,0,10
Mental_Health,0,2,1,3,0,0,2,2,4,5,0
Musculoskeletal,1,4,1,2,0,0,6,20,1,4,0
Neurological,2,4,0,5,1,0,1,2,15,5,0
Other,1,5,1,1,11,0,2,5,4,20,0
Respiratory,0,0,0,0,0,6,0,0,0,0,44
